timestamp,contract_type,action_taken,tx_hash,range_width_multiplier_setting,predictedPrice_api,predictedTick_calculated,external_api_eth_price,actualPrice_pool,sqrtPriceX96_pool,currentTick_pool,targetTickLower_calculated,targetTickUpper_calculated,initial_contract_balance_token0,initial_contract_balance_token1,finalTickLower_contract,finalTickUpper_contract,liquidity_contract,amount0_provided_to_mint,amount1_provided_to_mint,fees_collected_token0,fees_collected_token1,num_swaps_executed,gas_used,gas_cost_eth,error_message,currentTick_pool_WETHUSDC_price,finalTickLower_contract_WETHUSDC_price,finalTickUpper_contract_WETHUSDC_price,predictedTick_calculated_WETHUSDC_price,amount_USDC_minted_readable,amount_USDC_minted_usd,initial_balance_USDC_readable,initial_balance_USDC_usd,fees_USDC_collected_readable,fees_USDC_collected_usd,amount_WETH_minted_readable,amount_WETH_minted_usd,initial_balance_WETH_readable,initial_balance_WETH_usd,fees_WETH_collected_readable,fees_WETH_collected_usd
2025-07-21 00:07:18,Predictive,fees_collect_only_success,0xf1e1d5bfbd97f98c70275c4fc78030e3f048d27ed9f8a70f40a7c82b3878a067,20,3745.1706,194037,3761.57,3750.7534,1.2936605338692105e+33,194022,0,0,2000000000000.0,5e+19,193920,194130,7.990636793922886e+17,325014152563.0,5e+19,36172734,1.8087834086090536e+16,35,516709,0.000579,,3751.0503,3789.5049,3710.7589,3745.4282,325014.1526,325014.1526,2000000.0,2000000.0,36.172734,36.1727,50.0,130825.0,50.0,130825.0,0.01808783,47.3268
2025-07-21 04:07:20,Predictive,fees_collect_only_success,0xee3415d1e221ba243865cb6ed52b34391bc6b533c6092447c0d63d5d288b4599,20,3729.6543,194079,3756.5,3753.0104,1.293271477155082e+33,194016,0,0,2000000000000.0,5e+19,193970,194180,1.737750473028358e+18,926308757737.0,5e+19,34820106,1.7411698125767596e+16,35,516765,0.000565,,3753.3015,3770.6056,3692.2524,3729.7312,926308.7577,926308.7577,2000000.0,2000000.0,34.820106,34.8201,50.0,130825.0,50.0,130825.0,0.0174117,45.5577
2025-07-21 08:07:20,Predictive,fees_collect_only_success,0xf1b00c9dbf02b314b3bccb81bc975559dd3c3ebd69a84ffc409689ec589b0021,20,3782.1899,193939,3788.04,3779.6151,1.2887117704664348e+33,193946,0,0,2000000000000.0,5e+19,193840,194050,7.679466036661527e+17,305502792983.0,5e+19,34208276,1.7107079510862814e+16,35,482481,0.000556,,3779.6655,3819.941,3740.5626,3782.312,305502.793,305502.793,2000000.0,2000000.0,34.208276,34.2083,50.0,130825.0,50.0,130825.0,0.01710708,44.7607
2025-07-21 12:07:22,Predictive,fees_collect_only_success,0x24d2d203e3e3e06e498b8d495c709222e43f73c05310a54572b127e52a938e52,20,3814.1571,193855,3814.28,3810.9246,1.2834070013236334e+33,193863,0,0,2000000000000.0,5e+19,193760,193960,6.10262190170037e+17,185225233975.0,5e+19,38968003,1.0766369783055002e+16,35,516794,0.000685,,3811.1657,3850.6215,3774.3779,3814.2157,185225.234,185225.234,2000000.0,2000000.0,38.968003,38.968,50.0,130825.0,50.0,130825.0,0.01076637,28.1702
2025-07-21 16:07:22,Predictive,fees_collect_only_success,0x0d261916e803064805e8882a19905c5db2b052a4c1051425d9bbd0629b13b831,20,3844.6871,193775,3821.42,3816.56,1.2824591451675723e+33,193848,0,0,2000000000000.0,5e+19,193650,193860,3.0090665985236365e+17,3436008282.0,5e+19,22817049,5070069693315942.0,35,482235,0.00079,,3816.8864,3893.21,3812.3091,3844.8502,3436.0083,3436.0083,2000000.0,2000000.0,22.817049,22.817,50.0,130825.0,50.0,130825.0,0.00507007,13.2658
2025-07-21 20:07:25,Predictive,fees_collect_only_success,0x9e776207e6685e61f21c822c4009245104960987a435c7940f52c0b8be633a05,20,3749.6295,194025,3734.07,3740.7767,1.295384494076224e+33,194049,0,0,2000000000000.0,5e+19,193920,194130,4.485446379997638e+17,100210308950.0,5e+19,30500476,6803717576208897.0,35,516709,0.000589,,3740.9366,3789.5049,3710.7589,3749.9252,100210.309,100210.309,2000000.0,2000000.0,30.500476,30.5005,50.0,130825.0,50.0,130825.0,0.00680372,17.8019
2025-07-22 00:07:20,Predictive,fees_collect_only_success,0x9ec4d211aac9f785c957808efd88914368b458e91c12d85973e6e323b50309a9,20,3756.5242,194007,3764.79,3755.0773,1.2929154970639296e+33,194011,0,0,2000000000000.0,5e+19,193900,194110,7.109992431944243e+17,268562793212.0,5e+19,30741578,1.5373289242987652e+16,35,516849,0.000546,,3755.1785,3797.0911,3718.1875,3756.6808,268562.7932,268562.7932,2000000.0,2000000.0,30.741578,30.7416,50.0,130825.0,50.0,130825.0,0.01537329,40.2242
2025-07-22 04:07:22,Predictive,fees_collect_only_success,0x673852390bf98b1feb558a596aa616e4c4e188c7a359b75367fa3bb4fc00246f,20,3730.1476,194077,3728.01,3727.1156,1.2977563148368864e+33,194086,0,0,2000000000000.0,5e+19,193970,194180,5.87348875638641e+17,189146394860.0,5e+19,30445058,1.098953820586622e+16,35,516765,0.000557,,3727.1214,3770.6056,3692.2524,3730.4772,189146.3949,189146.3949,2000000.0,2000000.0,30.445058,30.4451,50.0,130825.0,50.0,130825.0,0.01098954,28.7541
2025-07-22 08:07:19,Predictive,fees_collect_only_success,0x86c7f1fcc1af7e5cb1e784f465e6b618cf49040e16cca289ee38387b8bfc0d8f,20,3702.1543,194153,3686.47,3679.8309,1.3060675925293433e+33,194213,0,0,2000000000000.0,5e+19,194040,194250,3.337062004328142e+17,27760410059.0,5e+19,24513512,5444413341557923.0,35,516547,0.000584,,3680.0886,3744.3048,3666.4981,3702.2344,27760.4101,27760.4101,2000000.0,2000000.0,24.513512,24.5135,50.0,130825.0,50.0,130825.0,0.00544441,14.2453
2025-07-22 12:07:21,Predictive,fees_collect_only_success,0x15dd99f9b7f0e78081259ee830c0ebe83ec237c532acb51ff86abb89b5ad7076,20,3706.0449,194142,3709.55,3702.9241,1.3019885839364907e+33,194151,0,0,2000000000000.0,5e+19,194040,194250,6.377910183055963e+17,221296832236.0,5e+19,36400063,1.3868189893775352e+16,35,516849,0.000561,,3702.9749,3744.3048,3666.4981,3706.3089,221296.8322,221296.8322,2000000.0,2000000.0,36.400063,36.4001,50.0,130825.0,50.0,130825.0,0.01386819,36.2861
